User-Defined Residential Building,
Inputs + Space Description,
,Co (ppm),HCeil (m),tmetric (h),Q (L/s person),Qalt (L/s person),Bfl (m²),
,420,2.4,2.0,5.1,10.0,84,

Scenario,Method,NOccH,Nbr,
Whole House,ACH,3,2,

Occupants,
,Nocc,Sex,Mass (kg),Age Group,Activity Level (met),
,1,M,68.0,30 to 59,1,
,1,F,63.5,30 to 59,1,
,1,M,18.1,3 to 9,1,

,tss (h),Css (ppm),Cm (ppm),C1h (ppm),
Primary Results,11.1,983,655,553,
Alternate Results,17.1,1285,676,559,

Plot Data,
,Time (h),C (ppm),Calt (ppm),
,10.68,951,1153,
,10.70,951,1153,
,10.72,951,1153,
,10.73,952,1154,
,10.75,952,1154,
,10.77,952,1154,
,10.78,952,1155,
,10.80,952,1155,
,10.82,952,1156,
,10.83,952,1156,
,10.85,953,1156,
,10.87,953,1157,
,10.88,953,1157,
,10.90,953,1157,
,10.92,953,1158,
,10.93,953,1158,
,10.95,953,1159,
,10.97,953,1159,
,10.98,954,1159,
,11.00,954,1160,
,11.02,954,1160,
,11.03,954,1160,
,11.05,954,1161,
,11.07,954,1161,
,11.08,954,1162,
,11.10,954,1162,
,11.12,955,1162,
,11.13,955,1163,
,11.15,955,1163,
,11.17,955,1163,
,11.18,955,1164,
,11.20,955,1164,
,11.22,955,1164,
,11.23,955,1165,
,11.25,956,1165,
,11.27,956,1165,
,11.28,956,1166,
,11.30,956,1166,
,11.32,956,1166,
,11.33,956,1167,
,11.35,956,1167,
,11.37,956,1168,
,11.38,957,1168,
,11.40,957,1168,
,11.42,957,1169,
,11.43,957,1169,
,11.45,957,1169,
,11.47,957,1170,
,11.48,957,1170,
,11.50,957,1170,
,11.52,957,1171,
,11.53,958,1171,
,11.55,958,1171,
,11.57,958,1172,
,11.58,958,1172,
,11.60,958,1172,
,11.62,958,1173,
,11.63,958,1173,
,11.65,958,1173,
,11.67,958,1174,
,11.68,959,1174,
,11.70,959,1174,
,11.72,959,1175,
,11.73,959,1175,
,11.75,959,1175,
,11.77,959,1175,
,11.78,959,1176,
,11.80,959,1176,
,11.82,959,1176,
,11.83,960,1177,
,11.85,960,1177,
,11.87,960,1177,
,11.88,960,1178,
,11.90,960,1178,
,11.92,960,1178,
,11.93,960,1179,
,11.95,960,1179,
,11.97,960,1179,
,11.98,960,1180,
,12.00,961,1180,
,12.02,961,1180,
,12.03,961,1180,
,12.05,961,1181,
,12.07,961,1181,
,12.08,961,1181,
,12.10,961,1182,
,12.12,961,1182,
,12.13,961,1182,
,12.15,961,1183,
,12.17,962,1183,
,12.18,962,1183,
,12.20,962,1184,
,12.22,962,1184,
,12.23,962,1184,
,12.25,962,1184,
,12.27,962,1185,
,12.28,962,1185,
,12.30,962,1185,
,12.32,962,1186,
,12.33,962,1186,
,12.35,963,1186,
,12.37,963,1186,
,12.38,963,1187,
,12.40,963,1187,
,12.42,963,1187,
,12.43,963,1188,
,12.45,963,1188,
,12.47,963,1188,
,12.48,963,1188,
,12.50,963,1189,
,12.52,963,1189,
,12.53,964,1189,
,12.55,964,1190,
,12.57,964,1190,
,12.58,964,1190,
,12.60,964,1190,
,12.62,964,1191,
,12.63,964,1191,
,12.65,964,1191,
,12.67,964,1191,
,12.68,964,1192,
,12.70,964,1192,
,12.72,964,1192,
,12.73,965,1193,
,12.75,965,1193,
,12.77,965,1193,
,12.78,965,1193,
,12.80,965,1194,
,12.82,965,1194,
,12.83,965,1194,
,12.85,965,1194,
,12.87,965,1195,
,12.88,965,1195,
,12.90,965,1195,
,12.92,965,1196,
,12.93,965,1196,
,12.95,966,1196,
,12.97,966,1196,
,12.98,966,1197,
,13.00,966,1197,
,13.02,966,1197,
,13.03,966,1197,
,13.05,966,1198,
,13.07,966,1198,
,13.08,966,1198,
,13.10,966,1198,
,13.12,966,1199,
,13.13,966,1199,
,13.15,966,1199,
,13.17,967,1199,
,13.18,967,1200,
,13.20,967,1200,
,13.22,967,1200,
,13.23,967,1200,
,13.25,967,1201,
,13.27,967,1201,
,13.28,967,1201,
,13.30,967,1201,
,13.32,967,1202,
,13.33,967,1202,
,13.35,967,1202,
,13.37,967,1202,
,13.38,967,1203,
,13.40,967,1203,
,13.42,968,1203,
,13.43,968,1203,
,13.45,968,1204,
,13.47,968,1204,
,13.48,968,1204,
,13.50,968,1204,
,13.52,968,1204,
,13.53,968,1205,
,13.55,968,1205,
,13.57,968,1205,
,13.58,968,1205,
,13.60,968,1206,
,13.62,968,1206,
,13.63,968,1206,
,13.65,968,1206,
,13.67,969,1207,
,13.68,969,1207,
,13.70,969,1207,
,13.72,969,1207,
,13.73,969,1207,
,13.75,969,1208,
,13.77,969,1208,
,13.78,969,1208,
,13.80,969,1208,
,13.82,969,1209,
,13.83,969,1209,
,13.85,969,1209,
,13.87,969,1209,
,13.88,969,1209,
,13.90,969,1210,
,13.92,969,1210,
,13.93,970,1210,
,13.95,970,1210,
,13.97,970,1211,
,13.98,970,1211,
,14.00,970,1211,
,14.02,970,1211,
,14.03,970,1211,
,14.05,970,1212,
,14.07,970,1212,
,14.08,970,1212,
,14.10,970,1212,
,14.12,970,1213,
,14.13,970,1213,
,14.15,970,1213,
,14.17,970,1213,
,14.18,970,1213,
,14.20,970,1214,
,14.22,970,1214,
,14.23,971,1214,
,14.25,971,1214,
,14.27,971,1214,
,14.28,971,1215,
,14.30,971,1215,
,14.32,971,1215,
,14.33,971,1215,
,14.35,971,1215,
,14.37,971,1216,
,14.38,971,1216,
,14.40,971,1216,
,14.42,971,1216,
,14.43,971,1216,
,14.45,971,1217,
,14.47,971,1217,
,14.48,971,1217,
,14.50,971,1217,
,14.52,971,1217,
,14.53,971,1218,
,14.55,972,1218,
,14.57,972,1218,
,14.58,972,1218,
,14.60,972,1218,
,14.62,972,1219,
,14.63,972,1219,
,14.65,972,1219,
,14.67,972,1219,
,14.68,972,1219,
,14.70,972,1220,
,14.72,972,1220,
,14.73,972,1220,
,14.75,972,1220,
,14.77,972,1220,
,14.78,972,1221,
,14.80,972,1221,
,14.82,972,1221,
,14.83,972,1221,
,14.85,972,1221,
,14.87,972,1221,
,14.88,972,1222,
,14.90,973,1222,
,14.92,973,1222,
,14.93,973,1222,
,14.95,973,1222,
,14.97,973,1223,
