start_time,Distance (in),Experiment,end_time,competing airflow,Fan,shroud,spacing (in),push filters,pull filters,filepath
2023-07-05 07:27:26.249944,6,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:27:40.580252,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:28:57.353255,6,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:29:49.275484,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:30:35.375689,4,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:31:16.078881,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-05 07:32:03.163579,2,"2 QT3, 2 Arctic P12 Max full speed",2023-07-05 07:32:40.201659,,2 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-05_02:02:47.819653.csv
2023-07-25 13:15:33.454026,2,"AirGo M, full speed",2023-07-25 13:16:41.212301,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:17:22.919932,2,"AirGo M, full speed",2023-07-25 13:18:04.701322,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:19:04.422233,4,"AirGo M, full speed",2023-07-25 13:20:18.274848,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:22:04.666347,6,"AirGo M, full speed",2023-07-25 13:23:29.006429,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:24:21.392406,8,"AirGo M, full speed",2023-07-25 13:24:58.532613,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:33:02.308968,10,"AirGo M, full speed",2023-07-25 13:33:52.909449,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:34:57.670764,12,"AirGo M, full speed",2023-07-25 13:35:48.959722,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:37:59.920563,14,"AirGo M, full speed",2023-07-25 13:38:53.922689,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:40:15.511108,16,"AirGo M, full speed",2023-07-25 13:40:59.749868,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:40:15.511108,16,"AirGo M, full speed",2023-07-25 13:40:59.749868,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:42:03.015917,18,"AirGo M, full speed",2023-07-25 13:42:57.604479,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:50:19.134333,20,"AirGo M, full speed",2023-07-25 13:51:06.002641,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:52:23.473410,22,"AirGo M, full speed",2023-07-25 13:52:56.726499,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:54:18.209894,24,"AirGo M, full speed",2023-07-25 13:52:56.726499,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:55:12.416290,24,"AirGo M, full speed",2023-07-25 13:55:53.055638,,1 Arctic P12 Max,False,,2 QT3 HEPA,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:57:58.722265,24,SmartAir QT3,2023-07-25 13:58:34.184437,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 13:59:30.162385,22,SmartAir QT3,2023-07-25 14:00:07.672029,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:00:59.243745,20,SmartAir QT3,2023-07-25 14:01:38.071950,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:02:25.315260,18,SmartAir QT3,2023-07-25 14:01:38.071950,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
2023-07-25 14:04:03.074579,16,SmartAir QT3,2023-07-25 14:04:38.162425,,QT3,False,,QT3,,/Users/eugaddan/Developer/breathesafe/python/air_cleaner_data/2023-07-25_09:10:29.743125.csv
